Alpha,Trial,Steps,Pings
0.1,79,101,45
0.1,80,99,11
0.1,81,101,16
0.1,82,50,22
0.1,83,101,15
0.1,84,101,14
0.1,85,101,13
0.1,86,101,27
0.1,87,2,1
0.1,88,91,23
0.1,89,52,14
0.1,90,52,24
0.1,91,101,19
0.1,92,95,10
0.1,93,85,41
0.1,94,101,18
0.1,95,101,34
0.1,96,45,14
0.1,97,101,23
0.1,98,31,19
0.1,99,5,4
0.1,100,101,11
0.15,1,101,35
0.15,2,101,9
0.15,3,55,9
0.15,4,101,26
0.15,5,52,16
0.15,6,101,19
0.15,7,101,39
0.15,8,94,13
0.15,9,101,10
0.15,10,101,15
0.15,11,101,23
0.15,12,101,8
0.15,13,101,7
0.15,14,13,7
0.15,15,59,8
0.15,16,101,3
0.15,17,101,0
0.15,18,101,7
0.15,19,93,15
0.15,20,101,35
0.15,21,63,6
0.15,22,97,43
0.15,23,101,8
0.15,24,101,6
0.15,25,89,6
0.15,26,84,12
0.15,27,97,11
0.15,28,101,10
0.15,29,101,6
0.15,30,26,12
0.15,31,101,32
0.15,32,101,33
0.15,33,101,10
0.15,34,101,43
0.15,35,77,15
0.15,36,83,19
0.15,37,101,26
0.15,38,101,16
0.15,39,101,11
0.15,40,61,25
0.15,41,101,24
0.15,42,99,19
0.15,43,41,9
0.15,44,30,5
0.15,45,55,11
0.15,46,58,18
0.15,47,43,4
0.15,48,81,14
0.15,49,74,8
0.15,50,101,13
0.15,51,101,21
0.15,52,101,19
0.15,53,100,33
0.15,54,54,19
0.15,55,101,16
0.15,56,92,11
0.15,57,89,6
0.15,58,9,6
0.15,59,48,21
0.15,60,101,22
0.15,61,68,17
0.15,62,101,27
0.15,63,101,20
0.15,64,101,16
0.15,65,101,5
0.15,66,2,2
0.15,67,101,8
0.15,68,30,8
0.15,69,101,21
0.15,70,101,9
0.15,71,101,6
0.15,72,88,2
0.15,73,101,15
0.15,74,101,4
0.15,75,74,8
0.15,76,101,12
0.15,77,101,19
0.15,78,36,10
0.15,79,101,19
0.15,80,96,24
0.15,81,101,29
0.15,82,101,7
0.15,83,71,7
0.15,84,101,16
0.15,85,101,9
0.15,86,101,9
0.15,87,101,8
0.15,88,14,2
0.15,89,87,9
0.15,90,51,3
0.15,91,101,6
0.15,92,88,13
0.15,93,89,11
0.15,94,81,6
0.15,95,101,6
0.15,96,50,18
0.15,97,61,11
0.15,98,69,18
0.15,99,101,3
0.15,100,100,2
0.2,1,101,9
0.2,2,101,1
0.2,3,13,4
0.2,4,101,2
0.2,5,64,11
0.2,6,101,10
0.2,7,51,19
0.2,8,31,6
0.2,9,101,1
0.2,10,60,4
0.2,11,101,3
0.2,12,10,6
0.2,13,101,17
0.2,14,37,3
0.2,15,101,4
0.2,16,10,4
0.2,17,40,15
0.2,18,101,7
0.2,19,97,8
0.2,20,46,7
0.2,21,101,13
0.2,22,101,3
0.2,23,101,0
0.2,24,57,11
0.2,25,101,5
0.2,26,45,13
0.2,27,66,7
0.2,28,72,4
0.2,29,101,9
0.2,30,101,16
0.2,31,88,24
0.2,32,101,22
0.2,33,101,9
0.2,34,101,32
0.2,35,101,4
0.2,36,90,6
0.2,37,24,6
0.2,38,101,19
0.2,39,45,10
0.2,40,101,6
0.2,41,40,12
0.2,42,101,15
0.2,43,38,9
0.2,44,3,1
0.2,45,18,9
0.2,46,101,11
0.2,47,101,1
0.2,48,101,16
0.2,49,101,15
0.2,50,101,24
0.2,51,70,8
0.2,52,30,1
0.2,53,101,19
0.2,54,101,1
0.2,55,101,2
0.2,56,76,12
0.2,57,76,7
0.2,58,101,0
0.2,59,101,23
0.2,60,101,28
0.2,61,73,13
0.2,62,101,14
0.2,63,88,21
0.2,64,101,25
0.2,65,63,11
0.2,66,46,10
0.2,67,42,6
0.2,68,101,15
0.2,69,24,14
0.2,70,101,4
0.2,71,86,3
0.2,72,101,2
0.2,73,23,5
0.2,74,26,10
0.2,75,45,3
0.2,76,101,12
0.2,77,74,6
0.2,78,101,1
0.2,79,101,13
0.2,80,79,7
0.2,81,5,1
0.2,82,40,1
0.2,83,101,1
0.2,84,62,7
0.2,85,47,4
0.2,86,26,13
0.2,87,97,20
0.2,88,95,14
0.2,89,7,3
0.2,90,99,14
0.2,91,92,5
0.2,92,95,21
0.2,93,101,0
0.2,94,101,2
0.2,95,72,21
0.2,96,101,18
0.2,97,101,5
0.2,98,79,5
0.2,99,101,2
0.2,100,78,11
0.25,1,59,8
0.25,2,69,6
0.25,3,20,11
0.25,4,101,0
0.25,5,54,12
0.25,6,73,3
0.25,7,4,3
0.25,8,66,12
0.25,9,101,12
0.25,10,101,0
0.25,11,99,4
0.25,12,101,3
0.25,13,100,14
0.25,14,97,5
0.25,15,12,1
0.25,16,8,5
0.25,17,3,1
0.25,18,92,14
0.25,19,17,5
0.25,20,70,3
0.25,21,101,8
0.25,22,7,2
0.25,23,44,10
0.25,24,41,20
0.25,25,72,1
0.25,26,101,24
0.25,27,101,3
0.25,28,1,1
0.25,29,101,1
0.25,30,101,7
0.25,31,72,9
0.25,32,11,1
0.25,33,101,7
0.25,34,100,3
0.25,35,1,1
0.25,36,101,7
0.25,37,15,2
0.25,38,101,20
0.25,39,101,8
0.25,40,101,14
0.25,41,63,8
0.25,42,97,6
0.25,43,101,10
0.25,44,101,4
0.25,45,5,3
0.25,46,81,5
0.25,47,22,8
0.25,48,101,1
0.25,49,101,16
0.25,50,97,11
0.25,51,101,1
0.25,52,101,6
0.25,53,101,14
0.25,54,40,2
0.25,55,8,5
0.25,56,101,12
0.25,57,101,13
0.25,58,72,2
0.25,59,39,3
0.25,60,32,2
0.25,61,101,8
0.25,62,86,1
0.25,63,101,18
0.25,64,80,8
0.25,65,29,11
0.25,66,84,9
0.25,67,101,0
0.25,68,101,1
0.25,69,101,13
0.25,70,101,5
0.25,71,101,0
0.25,72,101,2
0.25,73,38,6
0.25,74,25,7
0.25,75,70,14
0.25,76,19,1
0.25,77,65,6
0.25,78,101,18
0.25,79,101,7
0.25,80,101,21
0.25,81,101,1
0.25,82,56,15
0.25,83,101,4
0.25,84,101,17
0.25,85,62,4
0.25,86,101,8
0.25,87,19,4
0.25,88,88,3
0.25,89,59,1
0.25,90,17,9
0.25,91,101,19
0.25,92,46,5
0.25,93,95,9
0.25,94,17,4
0.25,95,62,3
0.25,96,55,5
0.25,97,56,26
0.25,98,101,0
0.25,99,101,2
0.25,100,101,4
0.3,1,101,0
0.3,2,101,0
0.3,3,16,8
0.3,4,101,18
0.3,5,31,12
0.3,6,101,4
0.3,7,101,9
0.3,8,79,5
0.3,9,101,8
0.3,10,38,2
0.3,11,101,1
0.3,12,26,6
0.3,13,66,5
0.3,14,101,0
0.3,15,19,2
0.3,16,101,0
0.3,17,15,4
0.3,18,19,5
0.3,19,101,2
0.3,20,101,1
0.3,21,90,12
0.3,22,45,12
0.3,23,73,11
0.3,24,101,13
0.3,25,68,3
0.3,26,43,3
0.3,27,101,4
0.3,28,65,1
0.3,29,101,18
0.3,30,50,3
0.3,31,101,0
0.3,32,55,1
0.3,33,41,8
0.3,34,24,3
0.3,35,101,2
0.3,36,35,4
0.3,37,101,11
0.3,38,101,4
0.3,39,101,7
0.3,40,94,8
0.3,41,101,0
0.3,42,101,0
0.3,43,34,3
0.3,44,101,4
0.3,45,101,12
0.3,46,37,5
0.3,47,94,2
0.3,48,101,0
0.3,49,101,0
0.3,50,7,3
0.3,51,101,2
0.3,52,57,1
0.3,53,96,8
0.3,54,95,3
0.3,55,78,1
0.3,56,23,9
0.3,57,49,1
0.3,58,21,4
0.3,59,101,3
0.3,60,72,0
0.3,61,8,4
0.3,62,83,6
0.3,63,101,0
0.3,64,101,13
0.3,65,74,12
0.3,66,101,0
0.3,67,101,6
0.3,68,100,7
0.3,69,3,2
0.3,70,101,1
0.3,71,101,3
0.3,72,101,1
0.3,73,100,9
0.3,74,101,0
0.3,75,90,11
0.3,76,101,5
0.3,77,101,0
0.3,78,11,7
0.3,79,63,6
0.3,80,89,5
0.3,81,101,12
0.3,82,66,3
0.3,83,101,8
0.3,84,101,0
0.3,85,101,0
0.3,86,101,16
0.3,87,101,0
0.3,88,69,9
0.3,89,101,2
0.3,90,68,7
0.3,91,101,9
0.3,92,76,2
0.3,93,81,5
0.3,94,101,3
0.3,95,101,1
0.3,96,101,15
0.3,97,101,5
0.3,98,93,11
0.3,99,7,3
0.3,100,64,0
0.35,1,101,9
0.35,2,56,4
0.35,3,84,3
0.35,4,101,1
0.35,5,101,2
0.35,6,71,1
0.35,7,66,2
0.35,8,101,0
0.35,9,101,0
0.35,10,91,19
0.35,11,101,1
0.35,12,101,2
0.35,13,42,0
0.35,14,95,4
0.35,15,101,12
0.35,16,101,2
0.35,17,101,1
0.35,18,101,7
0.35,19,101,2
0.35,20,101,0
0.35,21,95,15
0.35,22,53,2
0.35,23,85,2
0.35,24,85,2
0.35,25,101,0
0.35,26,42,18
0.35,27,101,4
0.35,28,98,2
0.35,29,33,6
0.35,30,101,2
0.35,31,67,14
0.35,32,97,0
0.35,33,101,0
0.35,34,101,11
0.35,35,76,20
0.35,36,97,18
0.35,37,101,0
0.35,38,101,0
0.35,39,98,9
0.35,40,101,1
0.35,41,101,1
0.35,42,24,3
0.35,43,101,4
0.35,44,101,0
0.35,45,101,0
0.35,46,86,0
0.35,47,101,1
0.35,48,101,1
0.35,49,101,0
0.35,50,101,3
0.35,51,101,6
0.35,52,63,3
0.35,53,98,6
0.35,54,59,4
0.35,55,101,16
0.35,56,101,2
0.35,57,33,1
0.35,58,65,2
0.35,59,48,6
0.35,60,21,8
0.35,61,100,8
0.35,62,101,1
0.35,63,101,4
0.35,64,101,3
0.35,65,60,9
0.35,66,101,1
0.35,67,101,6
0.35,68,101,0
0.35,69,101,2
