Alpha,Trial,Steps,Pings
0.1,79,101,33
0.1,80,26,21
0.1,81,62,36
0.1,82,71,43
0.1,83,63,26
0.1,84,96,22
0.1,85,101,18
0.1,86,45,29
0.1,87,101,16
0.1,88,101,48
0.1,89,56,24
0.1,90,45,38
0.1,91,101,18
0.1,92,101,21
0.1,93,99,28
0.1,94,87,47
0.1,95,53,19
0.1,96,28,15
0.1,97,101,18
0.1,98,101,11
0.1,99,98,38
0.1,100,20,17
0.15,1,73,15
0.15,2,58,13
0.15,3,56,8
0.15,4,101,3
0.15,5,101,18
0.15,6,101,12
0.15,7,95,25
0.15,8,54,7
0.15,9,70,19
0.15,10,34,15
0.15,11,65,22
0.15,12,17,11
0.15,13,80,11
0.15,14,92,20
0.15,15,101,1
0.15,16,18,11
0.15,17,7,6
0.15,18,82,27
0.15,19,101,6
0.15,20,101,5
0.15,21,101,12
0.15,22,75,17
0.15,23,90,22
0.15,24,101,12
0.15,25,36,11
0.15,26,79,8
0.15,27,66,15
0.15,28,101,17
0.15,29,53,21
0.15,30,57,11
0.15,31,96,24
0.15,32,57,6
0.15,33,7,6
0.15,34,41,15
0.15,35,101,4
0.15,36,43,9
0.15,37,101,14
0.15,38,74,16
0.15,39,41,20
0.15,40,2,1
0.15,41,101,4
0.15,42,82,26
0.15,43,101,23
0.15,44,101,3
0.15,45,82,24
0.15,46,65,19
0.15,47,95,10
0.15,48,86,9
0.15,49,101,1
0.15,50,101,14
0.15,51,39,11
0.15,52,86,12
0.15,53,96,23
0.15,54,101,15
0.15,55,52,9
0.15,56,85,10
0.15,57,101,8
0.15,58,60,10
0.15,59,62,26
0.15,60,66,22
0.15,61,101,15
0.15,62,55,18
0.15,63,86,35
0.15,64,34,26
0.15,65,62,23
0.15,66,32,19
0.15,67,93,10
0.15,68,70,29
0.15,69,25,17
0.15,70,101,0
0.15,71,39,8
0.15,72,61,14
0.15,73,83,4
0.15,74,101,6
0.15,75,87,10
0.15,76,85,4
0.15,77,101,13
0.15,78,63,19
0.15,79,96,19
0.15,80,92,23
0.15,81,101,21
0.15,82,73,12
0.15,83,101,7
0.15,84,26,14
0.15,85,89,11
0.15,86,101,9
0.15,87,100,21
0.15,88,101,10
0.15,89,35,6
0.15,90,68,16
0.15,91,101,9
0.15,92,81,15
0.15,93,101,3
0.15,94,101,13
0.15,95,91,29
0.15,96,101,35
0.15,97,82,9
0.15,98,98,21
0.15,99,101,10
0.15,100,101,25
0.2,1,86,10
0.2,2,101,6
0.2,3,83,23
0.2,4,63,12
0.2,5,57,6
0.2,6,54,16
0.2,7,14,13
0.2,8,62,8
0.2,9,25,8
0.2,10,101,11
0.2,11,101,10
0.2,12,74,14
0.2,13,101,11
0.2,14,101,2
0.2,15,45,8
0.2,16,49,10
0.2,17,33,14
0.2,18,84,19
0.2,19,96,9
0.2,20,101,4
0.2,21,96,11
0.2,22,66,8
0.2,23,64,17
0.2,24,101,0
0.2,25,90,6
0.2,26,101,7
0.2,27,101,2
0.2,28,61,5
0.2,29,101,4
0.2,30,101,5
0.2,31,70,6
