Alpha,Trial,Steps,Pings
0.3,79,38,9
0.3,80,14,5
0.3,81,246,12
0.3,82,112,5
0.3,83,108,8
0.3,84,179,33
0.3,85,65,9
0.3,86,82,18
0.3,87,143,14
0.3,88,26,4
0.3,89,126,9
0.3,90,235,6
0.3,91,162,6
0.3,92,27,6
0.3,93,158,12
0.3,94,140,6
0.3,95,45,8
0.3,96,95,7
0.3,97,70,5
0.3,98,183,16
0.3,99,88,20
0.3,100,136,14
0.4,1,56,3
0.4,2,176,14
0.4,3,1001,48
0.4,4,105,2
0.4,5,93,2
0.4,6,158,8
0.4,7,45,1
0.4,8,27,3
0.4,9,59,19
0.4,10,33,4
0.4,11,40,4
0.4,12,146,10
0.4,13,48,5
0.4,14,169,7
0.4,15,448,39
0.4,16,159,18
0.4,17,91,6
0.4,18,187,0
0.4,19,128,15
0.4,20,114,14
0.4,21,107,4
0.4,22,181,3
0.4,23,75,3
0.4,24,10,0
0.4,25,28,4
0.4,26,86,0
0.4,27,232,23
0.4,28,284,4
0.4,29,45,8
0.4,30,188,16
0.4,31,6,5
0.4,32,154,9
0.4,33,39,4
0.4,34,115,0
0.4,35,200,28
0.4,36,60,2
0.4,37,102,2
0.4,38,140,10
0.4,39,67,9
0.4,40,199,28
0.4,41,23,5
0.4,42,86,2
0.4,43,23,9
0.4,44,254,9
0.4,45,41,0
0.4,46,206,3
0.4,47,331,4
0.4,48,59,4
0.4,49,25,5
0.4,50,197,7
0.4,51,107,2
0.4,52,88,5
0.4,53,324,9
0.4,54,146,5
0.4,55,28,2
0.4,56,21,3
0.4,57,155,3
0.4,58,117,3
0.4,59,21,3
0.4,60,238,16
0.4,61,126,9
0.4,62,22,2
0.4,63,146,6
0.4,64,297,7
0.4,65,39,2
0.4,66,31,3
0.4,67,67,9
0.4,68,25,2
0.4,69,41,5
0.4,70,102,3
0.4,71,135,1
0.4,72,102,2
0.4,73,301,16
0.4,74,91,7
0.4,75,130,12
0.4,76,125,11
0.4,77,274,8
0.4,78,69,4
0.4,79,67,7
0.4,80,94,1
0.4,81,121,1
0.4,82,80,1
0.4,83,94,2
0.4,84,51,11
0.4,85,81,3
0.4,86,99,23
0.4,87,55,7
0.4,88,5,1
0.4,89,81,1
0.4,90,129,12
0.4,91,68,5
0.4,92,29,2
0.4,93,68,20
0.4,94,34,5
0.4,95,113,3
0.4,96,26,5
0.4,97,113,2
0.4,98,329,23
0.4,99,113,5
0.4,100,90,0
0.5,1,160,4
0.5,2,107,3
0.5,3,69,3
0.5,4,270,6
0.5,5,32,1
0.5,6,178,3
0.5,7,479,18
0.5,8,94,3
0.5,9,142,2
0.5,10,99,13
0.5,11,129,7
0.5,12,33,1
0.5,13,20,4
0.5,14,783,22
0.5,15,115,3
0.5,16,64,2
0.5,17,131,8
0.5,18,102,2
0.5,19,95,4
0.5,20,169,13
0.5,21,88,5
0.5,22,92,4
0.5,23,296,4
0.5,24,183,1
0.5,25,128,16
0.5,26,127,10
0.5,27,169,2
0.5,28,72,9
0.5,29,83,2
0.5,30,25,1
0.5,31,131,3
0.5,32,31,1
0.5,33,8,1
0.5,34,260,11
0.5,35,142,9
0.5,36,24,2
0.5,37,232,11
0.5,38,45,5
0.5,39,56,2
0.5,40,201,22
0.5,41,140,6
0.5,42,38,2
0.5,43,43,0
0.5,44,33,2
0.5,45,113,0
0.5,46,37,4
0.5,47,64,1
0.5,48,108,12
0.5,49,189,23
0.5,50,41,2
0.5,51,28,2
0.5,52,80,0
0.5,53,50,4
0.5,54,43,3
0.5,55,178,1
0.5,56,59,7
0.5,57,5,2
0.5,58,137,6
0.5,59,262,37
0.5,60,52,1
0.5,61,69,1
0.5,62,157,5
0.5,63,84,4
0.5,64,33,0
0.5,65,155,2
0.5,66,56,2
0.5,67,21,3
0.5,68,16,0
0.5,69,68,3
0.5,70,92,5
0.5,71,1001,44
0.5,72,217,11
0.5,73,294,13
0.5,74,578,26
0.5,75,51,2
0.5,76,61,2
0.5,77,11,1
0.5,78,37,2
0.5,79,94,6
0.5,80,100,2
0.5,81,87,1
0.5,82,55,6
0.5,83,134,4
0.5,84,324,11
0.5,85,352,9
0.5,86,95,2
0.5,87,173,1
0.5,88,34,0
0.5,89,192,4
0.5,90,58,1
0.5,91,144,2
0.5,92,449,23
0.5,93,533,25
0.5,94,23,4
0.5,95,247,7
0.5,96,117,3
0.5,97,11,0
0.5,98,22,2
0.5,99,93,0
0.5,100,69,3
0.6,1,374,5
0.6,2,114,4
0.6,3,109,3
0.6,4,252,14
0.6,5,205,4
0.6,6,200,2
0.6,7,229,3
0.6,8,66,5
0.6,9,114,2
0.6,10,61,0
0.6,11,124,3
0.6,12,25,4
0.6,13,142,10
0.6,14,26,6
0.6,15,165,2
0.6,16,115,6
0.6,17,102,1
0.6,18,90,5
0.6,19,168,3
0.6,20,83,1
0.6,21,9,5
0.6,22,118,9
0.6,23,84,3
0.6,24,25,1
0.6,25,19,1
0.6,26,986,8
0.6,27,63,2
0.6,28,289,5
0.6,29,20,7
0.6,30,209,2
0.6,31,93,4
0.6,32,422,18
0.6,33,151,10
0.6,34,140,3
0.6,35,60,0
0.6,36,180,3
0.6,37,136,4
0.6,38,117,0
0.6,39,284,13
0.6,40,90,3
0.6,41,12,3
0.6,42,55,3
0.6,43,121,0
0.6,44,136,1
0.6,45,53,0
0.6,46,60,3
0.6,47,102,1
0.6,48,27,0
0.6,49,12,2
0.6,50,119,3
0.6,51,1001,20
0.6,52,13,4
0.6,53,79,1
0.6,54,27,1
0.6,55,218,13
0.6,56,276,13
0.6,57,543,3
0.6,58,146,4
0.6,59,57,2
0.6,60,175,3
0.6,61,176,2
0.6,62,35,4
0.6,63,79,0
0.6,64,71,4
0.6,65,45,3
0.6,66,99,1
0.6,67,19,4
0.6,68,167,6
0.6,69,56,2
0.6,70,88,3
0.6,71,147,28
0.6,72,254,1
0.6,73,195,3
0.6,74,34,1
0.6,75,475,5
0.6,76,85,0
0.6,77,357,8
0.6,78,275,6
0.6,79,161,4
0.6,80,64,1
0.6,81,22,7
0.6,82,25,0
0.6,83,89,3
0.6,84,400,15
0.6,85,59,2
0.6,86,47,0
0.6,87,168,2
0.6,88,191,1
0.6,89,22,0
0.6,90,128,7
0.6,91,66,1
0.6,92,100,6
0.6,93,187,0
0.6,94,123,2
0.6,95,32,2
0.6,96,24,2
0.6,97,106,3
0.6,98,11,0
0.6,99,12,2
0.6,100,262,11
0.7,1,107,4
0.7,2,117,2
0.7,3,25,0
0.7,4,712,4
0.7,5,127,1
0.7,6,133,3
0.7,7,440,12
0.7,8,162,1
0.7,9,110,2
0.7,10,115,2
0.7,11,354,1
0.7,12,4,2
0.7,13,307,4
0.7,14,95,2
0.7,15,838,7
0.7,16,114,7
0.7,17,195,1
0.7,18,7,0
0.7,19,369,4
0.7,20,104,5
0.7,21,4,2
0.7,22,66,4
0.7,23,24,2
0.7,24,69,0
0.7,25,95,1
0.7,26,139,2
0.7,27,56,2
0.7,28,143,0
0.7,29,37,3
0.7,30,94,0
0.7,31,53,6
0.7,32,384,4
0.7,33,258,0
0.7,34,211,1
0.7,35,122,3
0.7,36,42,1
0.7,37,317,5
0.7,38,62,2
0.7,39,566,4
0.7,40,77,0
0.7,41,324,6
0.7,42,79,5
0.7,43,49,2
0.7,44,132,2
0.7,45,653,4
0.7,46,150,2
0.7,47,217,1
0.7,48,19,0
0.7,49,269,2
0.7,50,80,0
0.7,51,77,6
0.7,52,61,2
0.7,53,144,1
0.7,54,139,1
0.7,55,150,6
0.7,56,43,0
0.7,57,90,1
0.7,58,286,2
0.7,59,31,2
0.7,60,34,0
0.7,61,101,2
0.7,62,221,10
0.7,63,47,2
0.7,64,283,8
0.7,65,358,12
0.7,66,141,8
0.7,67,67,1
0.7,68,18,1
0.7,69,13,1
0.7,70,216,12
0.7,71,61,6
0.7,72,22,0
0.7,73,19,0
0.7,74,99,2
0.7,75,443,0
0.7,76,789,6
0.7,77,21,3
0.7,78,95,8
0.7,79,613,4
0.7,80,156,1
0.7,81,333,0
0.7,82,320,0
0.7,83,116,2
0.7,84,2,1
0.7,85,36,1
0.7,86,278,3
0.7,87,423,0
0.7,88,127,3
0.7,89,104,2
0.7,90,77,2
0.7,91,113,0
0.7,92,125,3
0.7,93,106,2
0.7,94,2,1
0.7,95,100,1
0.7,96,160,4
0.7,97,133,6
0.7,98,172,0
0.7,99,116,2
0.7,100,242,0
0.8,1,160,4
0.8,2,336,12
0.8,3,841,0
0.8,4,48,2
0.8,5,60,0
0.8,6,54,0
0.8,7,107,12
0.8,8,236,1
0.8,9,647,1
0.8,10,557,3
0.8,11,64,0
0.8,12,243,5
0.8,13,926,4
0.8,14,36,1
0.8,15,477,2
0.8,16,137,0
0.8,17,128,5
0.8,18,39,0
0.8,19,19,0
0.8,20,251,1
0.8,21,72,0
0.8,22,199,2
0.8,23,185,0
0.8,24,82,4
0.8,25,118,3
0.8,26,59,0
0.8,27,4,0
0.8,28,93,0
0.8,29,45,4
0.8,30,220,0
0.8,31,39,1
0.8,32,15,1
0.8,33,175,5
0.8,34,321,3
0.8,35,25,1
0.8,36,627,20
0.8,37,207,2
0.8,38,199,1
0.8,39,155,10
0.8,40,372,1
0.8,41,54,0
0.8,42,1,1
0.8,43,311,0
0.8,44,67,0
0.8,45,401,8
0.8,46,403,7
0.8,47,178,0
0.8,48,46,1
0.8,49,68,6
0.8,50,50,3
0.8,51,549,1
0.8,52,330,7
0.8,53,122,1
0.8,54,129,1
0.8,55,48,3
0.8,56,184,2
0.8,57,479,4
0.8,58,309,0
0.8,59,63,5
0.8,60,33,1
0.8,61,170,1
0.8,62,249,4
0.8,63,98,1
0.8,64,30,1
0.8,65,83,2
0.8,66,24,3
0.8,67,47,0
0.8,68,477,8
0.8,69,148,1
0.8,70,592,10
0.8,71,89,9
0.8,72,116,3
0.8,73,375,2
0.8,74,258,4
0.8,75,122,11
0.8,76,649,3
0.8,77,177,3
0.8,78,146,4
0.8,79,257,7
0.8,80,16,2
0.8,81,88,0
0.8,82,137,4
0.8,83,27,4
0.8,84,27,1
0.8,85,60,4
0.8,86,106,5
0.8,87,10,1
0.8,88,406,2
0.8,89,55,1
0.8,90,145,1
0.8,91,40,3
0.8,92,78,1
0.8,93,100,2
0.8,94,157,1
0.8,95,119,1
0.8,96,126,6
0.8,97,211,3
0.8,98,123,1
0.8,99,110,0
0.8,100,214,0
0.9,1,244,0
0.9,2,136,0
0.9,3,115,1
0.9,4,39,3
0.9,5,215,0
0.9,6,189,2
0.9,7,91,1
0.9,8,106,2
0.9,9,172,2
0.9,10,686,3
0.9,11,82,1
0.9,12,308,3
0.9,13,149,1
0.9,14,557,0
0.9,15,57,1
0.9,16,93,0
0.9,17,117,2
0.9,18,442,3
0.9,19,280,1
0.9,20,248,6
0.9,21,224,0
0.9,22,294,0
0.9,23,24,2
0.9,24,242,2
0.9,25,229,7
0.9,26,259,5
0.9,27,132,1
0.9,28,163,1
0.9,29,125,7
0.9,30,32,2
0.9,31,152,0
0.9,32,179,7
0.9,33,111,4
0.9,34,357,0
0.9,35,124,7
0.9,36,53,2
0.9,37,76,0
0.9,38,158,2
0.9,39,76,0
0.9,40,3,1
0.9,41,258,3
0.9,42,272,0
0.9,43,171,2
0.9,44,862,4
0.9,45,457,6
0.9,46,126,0
0.9,47,199,0
0.9,48,13,4
0.9,49,170,2
0.9,50,94,0
0.9,51,425,3
0.9,52,514,2
0.9,53,751,2
